ad_id,tiktok_item_id,identity_id,operation_status,ad_name,adgroup_name,adgroup_id,campaign_id,campaign_name,spend_90d
1854854300468226,7472886844091354411,7089131140628005931,ENABLE,Obsessed with my new brown teddy accent chair. Getting another one to put both infront of my living room window. They are sold on Amazon and Wayfair. I’ll have these linked on my Amazon storefront and on my LTK in my bio. #fyp #foryoupage #accentchair #accentchairs #bouclechair #chairs #amazonhome #amazonchair #amazonfurniture #livingroom #livingroomdecor #livingroomdecor #organicmodern #modernorganic #teddychair #brownaesthetic,Spark_Chairs_Broad,1845522371045474,1845522176114754,Evergreen VSA Broad Web,4301.15
1871341446781954,7652053827574648077,7624624330496066573,ENABLE,"A dresser can completely change the feel of a room, and this one did exactly that 🤎✨ I love the warm oak finish, rounded corners, and beautiful gold hardware. It adds so much style while giving me plenty of storage to keep everything organized. Definitely one of my favorite bedroom upgrades lately! Comment SHOP for links. 🤍 #WayfairElevate #WayfairCreator #ad #wayfair #ad @wayfair https://liketk.it/6fXfe_wcp_lifeinwaheaven_dresser_broad_FF",Spark_Dresser_Broad_FF,1871339768085602,1871339683323985,Evergreen VSA Broad Web FF,4299.27
1865652758676705,7610426506967272735,7038814225125327877,ENABLE,full body picture approved ☑️ link in bio & comments #WayfairCreator #Wayfair @Wayfair #fulllengthmirror #homedecor #homedecorinspo,Spark_Mirrors_Broad_2,1851727743997025,1845522176114754,Evergreen VSA Broad Web,4285.56
1864296024495154,7630994918453906719,6745021104051979269,ENABLE,Perfect for my morning coffee in my cozy chair 👏🏼✨ @Wayfair  #wayfairfinds #homeoffice #accenttable #wayfairhome #homeofficedecor,Spark_Tables_Broad,1845523804088658,1845522176114754,Evergreen VSA Broad Web,4259.06
1858663183629569,7571922531825847582,7000717751430906886,ENABLE,"The bookcase that gave my cameras and lenses a home! Found this gorgeous fan shaped corner bookshelf at @wayfair and I could not resist to add it to my content room.@Wayfair  The wood finish, the tier paces and the cabinets are just what I needed for display my camera gear and also keep certain miscellaneous items hidden. This is the perfect bookcase shelf for that small awkward space in your home or apartment. Link in Bio!✨ #bookcasestyling #wayfaircreator #wayfair #apartmentdecorating #aesthetichomedecor",Spark_Bookshelves_Broad,1845522455733249,1845522176114754,Evergreen VSA Broad Web,4244.56
1845524604445761,7549441022258842911,7185743620389258282,ENABLE,"Getting set up in the new house has been a journey. Each room is taking its own time coming together but we are getting there.  One of the first things we bought, to keep the cat active and enjoying the new home, was this wall mounted play wall.  I loved that it had a hiding box scratching posts and multilevel reading and jumping shelves to choose and move around on. Salem was enjoying it before it was even fully mounted and set up, as you can see, so I highly recommend this for your fancy feline. 🥰😻 We got ours from @Wayfair check it my bio and shops to get more details and access to cute things you’ll be sure to love.   #catsoftiktok #catlovers #wayfaircreator #home #wayfair",Spark_Pet_Broad,1845523499811138,1845522176114754,Evergreen VSA Broad Web,4239.05
1871342862475442,7555967682990984503,6793032138139026437,ENABLE,my literal dream couch 🥰☁️✨  couch 🔗 is in my b i o !!! #wayfair #cloudcouch #sectional #momof3 #wayfaircreator  @Wayfair _latituderun_cloud_couch_broad_FF,Spark_Couches_Broad_FF,1871339749665202,1871339683323985,Evergreen VSA Broad Web FF,4222.53
1868271858430993,7651839842061389087,6805768767936627717,ENABLE,Obsessed 🤩 This spindle gorgeous bookcase is exactly what I was looking for. I was not happy with the previous one I had. But this one is much more my vibe and looks so beautiful next to my gallery wall. I love that it’s wood and the stain is perfect! ✨🦢🤎 🔗 under my bio in my @Wayfair storefront  #wayfairfinds #wayfair #wayfairfurniture #wayfaircreator #señoralife _wcp_birchlane_isabel_spindle_bookshelf_broad,Spark_Bookshelves_Broad,1845522455733249,1845522176114754,Evergreen VSA Broad Web,4200.26
1851146350840993,7576659256598957326,2367131,ENABLE,"Still in love with our @Wayfair couch!✨ 🔗 on my LTK Only thing I’m not a fan of are the pillows that came with the couch, a bit on the stutter side Tor my liking so I purchased 18x18 inserts and o chocolate brown boucle shams to match our boucle brown throw :) Last month my daughter got blood on it, i was shaking in my boots. But hydrogen proxide and dabbing method took it right off!!! I did spray it with a protector however, i followed the instructions and the water never did the bubbling effect it should’ve, so not sure that works lol. Also got a few questions on storage, there is no storage components to this couch. You can remove the pillow cushions but not sure about the rest (Wayfair says not removable per the description). Anyways, I’d still recommend this couch if you’re looking for a boneless, comfortable sectional for your space!!🤍✨#creatorsearchinsights #wayfaircouch #couchreview #aesthetichome #homedecorideas",Spark_Couches_Broad_2,1848415167854594,1845522176114754,Evergreen VSA Broad Web,4188.73
1871342893327474,7614602403249261838,6762318091773051910,ENABLE,Girl to girl… GET THE COUCH. #wayfair #wayfaircouch #cloudcouch #girl #homedecor @Wayfair _search_latituderun_u_shape_cloudcouch_broad_FF,Spark_Couches_Broad_FF,1871339749665202,1871339683323985,Evergreen VSA Broad Web FF,4143.41
